Segment,customer_count,avg_recency,avg_frequency,avg_monetary,total_revenue,avg_rfm_total,revenue_pct
About to Sleep,38,503.5,1.0263157894736843,42788.097631578945,1625947.71,6.2368421052631575,6.48557984027796
At Risk,31,689.8709677419355,2.225806451612903,76262.72903225807,2364144.6,8.32258064516129,9.43009942014802
Champions,34,38.61764705882353,6.5588235294117645,246813.53823529414,8391660.3,14.323529411764707,33.47265261571105
Hibernating,37,846.5135135135135,1.0,41331.748108108106,1529274.68,4.837837837837838,6.099970481126682
Loyal Customers,50,217.88,4.3,156407.72580000001,7820386.29,12.26,31.19395498002217
Need Attention,22,301.54545454545456,1.0,31724.936363636363,697948.6,6.454545454545454,2.7839772102574103
New Customers,12,46.166666666666664,1.0,39379.42166666667,472553.06,8.583333333333334,1.884919533726986
Potential Loyal,27,167.7037037037037,1.4814814814814814,59642.82185185185,1610356.19,9.518518518518519,6.423388388997345
Promising,14,140.64285714285714,1.0,39851.900714285715,557926.61,7.785714285714286,2.2254575297323815
